state,year,spircons,unrate,perinc,emppop,beertax,sobapt,mormon,mlda,dry,yngdrv,vmiles,breath,jaild,comserd,allmort,mrall,allnite,mralln,allsvn,a1517,mra1517,a1517n,mra1517n,a1820,a1820n,mra1820,mra1820n,a2124,mra2124,a2124n,mra2124n,aidall,mraidall,pop,pop1517,pop1820,pop2124,miles,unus,epopus,gspch
AL,1982,1.37000000476837,14.3999996185303,10544.15234375,50.6920394897461,1.53937947750092,30.3556995391846,0.328289985656738,19,25.0062999725342,0.211572006344795,7233.88720703125,0,0,0,839,0.000212836006539874,146,3.70369998563547e-05,99,53,0.000253589008934796,9,4.30619984399527e-05,99,34,0.000446844787802547,0.000153461849549785,120,0.000413792993640527,32,0.000110344997665379,309.43798828125,7.84980002208613e-05,3942002.25,208999.59375,221553.4375,290000.0625,28516,9.69999980926514,57.7999992370605,-0.0221247598528862
AL,1983,1.36000001430511,13.6999998092651,10732.7978515625,52.147029876709,1.78899073600769,30.3335990905762,0.343409985303879,19,22.9941997528076,0.21076799929142,7836.34765625,0,0,0,930,0.000234848004765809,154,3.88888984161895e-05,98,71,0.000351485010469332,8,3.96040013583843e-05,108,26,0.000492868304718286,0.000118653486424591,124,0.000427585997385904,35,0.000120689997856971,341.834014892578,8.63219975144602e-05,3960008,202000.078125,219125.46875,290000.15625,31032,9.60000038146973,57.9000015258789,0.046558253467083
AL,1984,1.32000005245209,11.1000003814697,11108.791015625,54.1680870056152,1.71428561210632,30.3115005493164,0.359239995479584,19,24.0426006317139,0.211484000086784,8262.990234375,0,0,0,932,0.000233643004321493,165,4.13638008467387e-05,94,49,0.000248730997554958,7,3.5533001209842e-05,103,25,0.000475258653750643,0.000115354043373372,118,0.0004097220080439,34,0.00011805599933723,304.872009277344,7.64279975555837e-05,3988991.75,196999.96875,216724.09375,288000.15625,32961,7.5,59.5000038146973,0.062797836959362
AL,1985,1.27999997138977,8.89999961853027,11332.626953125,55.2711372375488,1.65254235267639,30.2894992828369,0.375789999961853,19.6700000762939,23.6338996887207,0.211140006780624,8726.9169921875,0,0,0,882,0.000219348003156483,146,3.63094004569575e-05,98,66,0.000338462006766349,9,4.61540003016125e-05,100,23,0.000466528814285994,0.000107301631942391,114,0.000401408004108816,45,0.000158451002789661,276.742004394531,6.88240033923648e-05,4021007.75,194999.734375,214349.03125,284000.3125,35091,7.19999980926514,60.1000022888184,0.0274899732321501
AL,1986,1.23000001907349,9.80000019073486,11661.5068359375,56.5144958496094,1.60990703105927,30.2674007415771,0.393110007047653,21,23.4647006988525,0.21340000629425,8952.853515625,0,0,0,1081,0.000266913993982598,172,4.2469098843867e-05,119,82,0.000401961005991325,10,4.90200000058394e-05,120,23,0.000566037721000612,0.000108490567072295,119,0.000452470994787291,29,0.000110266002593562,360.716003417969,8.90660012373701e-05,4049993.75,203999.890625,212000,263000.28125,36259,7,60.7000007629395,0.032142948359251
AL,1987,1.17999994754791,7.80000019073486,11944,57.509880065918,1.55999994277954,30.2453002929688,0.411229997873306,21,23.7924003601074,0.21552699804306,9166.3017578125,0,0,0,1110,0.000271858996711671,181,4.43300996266771e-05,114,94,0.000458536989754066,11,5.36590014235117e-05,127,31,0.0006076599820517,0.000148324994370341,138,0.000532819016370922,30,0.000115830000140704,368.420989990234,9.02329993550666e-05,4082999,204999.8125,208998.453125,258999.765625,37426,6.19999980926514,61.5,0.0489763729274273
AL,1988,1.16999995708466,7.19999980926514,12368.6240234375,56.834529876709,1.50144362449646,30.2233009338379,0.430180013179779,21,23.7924003601074,0.21832799911499,9674.3232421875,0,0,0,1023,0.000249391014222056,139,3.38858990289737e-05,89,66,0.000328358000842854,8,3.98010015487671e-05,105,24,0.000544039998203516,0.000124351994600147,123,0.000467681005829945,25,9.50570029090159e-05,298.321990966797,7.27259975974448e-05,4101992.25,201000.125,193000.515625,262999.78125,39684,5.5,62.3000030517578,0.0353918187320232
AZ,1982,1.97000002861023,9.89999961853027,12309.0693359375,56.8932952880859,0.214797139167786,3.958899974823,4.91909980773926,19,0,0.209012001752853,6810.15673828125,0,1,1,724,0.000249914010055363,131,4.52191998192575e-05,76,40,0.000283687986666337,7,4.96450011269189e-05,81,16,0.000517973327077925,0.000102315716503654,96,0.00044036700273864,36,0.000165138000738807,173.667999267578,5.99480008531827e-05,2896996.5,140999.984375,156378.703125,217999.984375,19729,9.69999980926514,57.7999992370605,-0.0431818999350071
AZ,1983,1.89999997615814,9.10000038146973,12693.8076171875,57.5536308288574,0.206422030925751,3.89010000228882,4.83106994628906,19,0,0.203854992985725,6587.49462890625,0,1,1,675,0.000226738004130311,112,3.76218013116159e-05,60,40,0.000287770002614707,7,5.03599985677283e-05,83,19,0.000526912393979728,0.000120618497021496,80,0.000365296989912167,17,7.76259985286742e-05,196.889999389648,6.61369995214045e-05,2977004.25,138999.890625,157521.4375,218999.890625,19611,9.60000038146973,57.9000015258789,0.0762055367231369
AZ,1984,2.14000010490417,5,13265.93359375,60.379020690918,0.296703308820724,3.8225998878479,4.74460983276367,19,0,0.209126994013786,6709.97021484375,0,1,1,869,0.000282877997960895,149,4.85025993839372e-05,81,51,0.000369565008440986,8,5.79709994781297e-05,118,34,0.000743669981602579,0.000214277795748785,123,0.000559090985916555,33,0.000150000007124618,212.360992431641,6.9128000177443e-05,3071995.75,138000.078125,158672.53125,219999.96875,20613,7.5,59.5000038146973,0.106213971972466
